iter	Passed	Remaining
542	58026	48836
543	58154	48747
544	58193	48583
545	58369	48534
546	58456	48410
547	58490	48244
548	58705	48226
549	58788	48099
550	59089	48151
551	59164	48017
552	59221	47870
553	59451	47861
554	59622	47805
555	59689	47666
556	59776	47542
557	59804	47371
558	59844	47211
559	59991	47135
560	60300	47187
561	60377	47055
562	60409	46889
563	60479	46753
564	60523	46598
565	60552	46430
566	60594	46274
567	60617	46103
568	60769	46031
569	60801	45867
570	60818	45693
571	60843	45526
572	60916	45395
573	61029	45293
574	61056	45128
575	61215	45061
576	61279	44924
577	61304	44758
578	61366	44620
579	61393	44457
580	61454	44319
581	61539	44198
582	61693	44127
583	61797	44020
584	61924	43929
585	62010	43809
586	62119	43705
587	62306	43657
588	62462	43585
589	62590	43495
590	62658	43362
591	62742	43241
592	62951	43206
593	63080	43115
594	63136	42975
595	63247	42872
596	63346	42761
597	63503	42689
598	63629	42596
599	63655	42436
600	63672	42605	64348	41837
606	64496	41757
607	64669	41695
608	64783	41593
609	64884	41483
610	65052	41416
611	65152	41305
612	65227	41179
613	65327	41069
614	65473	40987
615	65621	40906
616	65651	40752
617	65666	40589
618	65787	40492
619	65868	40371
620	65936	40241
621	66001	40110
622	66064	39978
623	66120	39841
624	66237	39742
625	66335	39632
626	66492	39556
627	66561	39428
628	66936	39480
629	67081	39397
630	67206	39301
631	67343	39212
632	67453	39107
633	67575	39010
634	67650	38885
635	67785	38795
636	67870	38676
637	67938	38548
638	68113	38480
639	68347	38445
640	68555	38395
641	68652	38282
642	68810	38204
643	68845	38057
644	68940	37944
645	69067	37848
646	69183	37745
647	69294	37641
648	69317	37489
649	69478	37411
650	69636	37332
651	69675	37188
652	69722	37049
653	69788	36921
654	69921	36828
655	70014	36714
656	70133	36614
657	70218	36496
658	70319	36386
659	70360	3624662	70225	35695
663	70313	35580
664	70332	35430
665	70364	35287
666	70453	35173
66665	70903	355566666	71122	35508
667	71232	35402
668	71375	35314
669	71496	35214
670	71563	35088
671	71665	34979
672	71784	34878
673	72021	34835
674	72251	34787
675	72438	34719
676	72662	34667
677	72852	34599
678	72920	34473
679	73042	34372
680	73123	34253
681	73141	34104
682	73189	33969
683	73233	33833
684	73290	33703
685	73360	33579
686	73373	33429
687	73415	33293
688	73440	33149
689	73633	33081
690	73730	32970
691	73901	32892
692	73917	32745
693	74126	32684
694	74229	32575
695	74308	32456
696	74467	32372
697	74625	32287
698	74796	32208
699	74944	32119
700	75148	32053
701	75265	31950
702	75464	31881
703	75537	31760
704	75676	31666
705	75716	31530
706	75738	31387
707	75823	31272
708	75849	31131
709	75883	30994
710	75895	30849
711	75920	30709
712	76005	30594
713	76068	30470
714	76101	30333
715	76132	30197
716	76155	30058
717	76233	29941
718	76339	29834
719	76386	29706
720	76415	29570
721	76496	29454
722	76549	29327
723	76629	29212
724	76685	29087
725	76709	2895728	76722	762973729	76488	2829733	77209	27980
734	77417	27912
735	77456	27783
736	77495	27654
737	77646	27565
738	77703	27443
739	77822	27343
740	735	77685	27865
736	77753	27742	737	733	7728743	78124	26881
744	78362	26821
745	78600	26762
746	78720	26661
747	78894	26579
748	78971	26464
749	79162	26387
750	79224	26267
751	79376	26177
752	79470	26068
753	79638	25982
754	79669	25852
755	79736	25735
756	79797	25615
757	79877	25501
758	80002	25402
759	80175	25318
760	80252	25203
761	80344	25094
762	80426	24981
763	80447	24850
764	80499	24728
765	80599	24621
766	80804	24546
767	80870	24429
768	80990	24328
769	81004	24196
770	81037	24069
771	8106762	80358	24960
763	80465	24855
764	80651	24775
765	80878	24707
766	80967	24596
767	81067	24489
768	81104	24363
769	81166	24244
770	81366	24167
771	81424	24047
772	81450	23918
773	81475	23789
774	81505	23663
775	81574	23547
776783	82397	22701
784	82504	22596
785	82709	22518
786	82850	22423
787	82943	22314
788	82983	22192
789	83151	22103
790	83322	22015
791	83471	21921
792	83648	21835
793	83836	21751
794	84054	21674
795	84267	21596
796	84296	21470
797	84349	21351
798	84366	21223
799	84385	21096
800	84401	20968
801	84633	20894
802	84750	20791
803	84939	20706
804	84963	20581
805	85250	20519
806	85368	20416
807	85469	20309
808	85553	20198
809	85569	20071
810	85597	19948
811	85747	19852
812	85915	19761
813	86028	19657
814	86140	19553
815	86598	19527
816	86653	19409
817	86719	19294
818	86730	19167
819	86742	19041
820	86752	18914
821	86764	18788
822	86812	18670
823	86830	18546
824	86886	18430
825	869825	86297826	869826	86360827	87137	18101
828	87304	18008
829	87412	17903
830	87605	17816
831	87713	17711
832	87873	17616
833	88007	17517
834	88106	17410
835	88140	17290
836	88312	17198
837	88526	17113
838	88677	17016
839	88721	16899
840	88830	16794
841	88966	16694
842	89104	16594
843	89160	16479
844	89356	16390
845	89518	16295
846	89678	16199
847	89698	16078
848	89828	15976
849	90014	15884
850	90109	15777
851	90249	15677
852	90321	15565
853	90441	15461
854	90608	15366
855	90743	15265
856	90949	15175
857	91147	15085
858	91250	14978
859	91323	14866
860	91439	14762
861	91489	14646
862	91560	14535
863	91608	14419
864	91703	14312
865	91886	14217
866	92068	14123
867	92224	14024
868	92295	13913
869	92352	13799
870	92445	13691
871	92551	13585
872	92645	13477
873	92742	13370
874	92832	13261
875	92997	13164
876	93028	13047
877	93102	12936
878	93322	12846
879	93369	12732
880	93384	12613
881	93395	12495
882	93577	12399
883	93600	12282
884	93768	12184
885	93850	12075
886	93930	11966
887	94038	11860
888	94195	11761
889	94245	11648
890	94266	11532
891	94373	11426
892	94385	11309
893	94410	11194
894	94433	110888895	94482	109889896	94640	10867
897	94790	10766
898	94853	106892899	94924	105893900	95008	10439
901	95097	103895902	95180	10224
903	95236	10113
904	95331	10007
905	95469	9905
906	95555	9797
907	95671	9693
908	95775	9588
909	95883	9482
910	95998	9378
911	96121	9274
912905	95328	98913906	95496	9791
907	95783	9704
908	95895	9600
909	95955	9490
910	96124	9390
911	96427	9304
912	96561	9201
913	96751	9103
914	96882	8999
915	96932	8889
916	96966	8776
917	97071	8670
918	97124	85692919	97252	8456
920	97452	8359
921	97483	8247
922	97564	8139
923	97703	8036
924	97728	7923
925	97802	7815
926	97832	7704
927	97860	7592
928	97886	7481
929	97921	7370
930	97954	72594931	98014	715942	98914	5978
943	98972	5871
944	99129	5769
945	99233	5664
946	99356	5560
947	99484	5456
948	99520	5348
949	99560	5240
950	99598	5131
951	99626	5023
952	99649	4914
953	99695	4807
95944	98942	5758
945	98985	5650
946	99007	5541
947	99059	54395948	99150	53295949	99193	52209950	99263	5114
951	99300	5006
952	99347	4899
953	99388	4792
954	99438	4685
955	99479	4578
956	99592	4474
957	99967	10047958	99777	4265
959	99790	4157
960	99866	4052
961	99910	3946
962	99978	3841
963	99997	3734
964	100064	3629
965	100117	3523
966	100190	3419
967	100224	3313
968	100347	3210
969	100413	3105
970	100432	2999
971	100533	2896
972	100566	2790
973	100596	2685
974	100623	2580
975	100634	2474
976	100650	2369
977	100689	2264
978	100723	2160
979	100755	2056
980	100788	1952
981	100809	1847
982	100826	1743
983	100857	1639
984	100883	1536
985	100893	1432
986	100904	1329
987	100915	1225
988	100931	1122
989	100942	1019
990	100960	916
991	100969	814
992	100985	711
993	100991	609
994	101001	507
995	101018	405
996	101027	303
997	101034	202
998	101040	101
999	101047	0
97	100947	202
998	100956	101
999	100970	0
